Europawahl 2019;;;;Stand:;5/27/19 16:16;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;EUROPA;;erste Eingabe;;letzte Eingabe;
;;rechtigte;;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41619;Reichenau im Mühlkreis;1032;603;58,43;5;0,83;598;99,17;270;45,15;126;21,07;95;15,89;60;10,03;37;6,19;2;0,33;8;1,34;26.05.2019;13:50:41;26.05.2019;13:50:41
41620;Reichenthal;1197;725;60,57;21;2,9;704;97,1;346;49,15;133;18,89;99;14,06;74;10,51;44;6,25;6;0,85;2;0,28;26.05.2019;13:53:48;26.05.2019;13:53:48
41621;St.Gotthard im Mühlkreis;1074;627;58,38;13;2,07;614;97,93;232;37,79;158;25,73;89;14,5;80;13,03;50;8,14;2;0,33;3;0,49;26.05.2019;14:04:15;26.05.2019;14:04:15
41622;Schenkenfelden;1306;743;56,89;26;3,5;717;96,5;387;53,97;113;15,76;107;14,92;61;8,51;40;5,58;4;0,56;5;0,7;26.05.2019;14:32:54;26.05.2019;14:32:54
41623;Sonnberg im Mühlkreis;788;444;56,35;9;2,03;435;97,97;189;43,45;77;17,7;62;14,25;67;15,4;37;8,51;1;0,23;2;0,46;26.05.2019;13:01:30;26.05.2019;13:01:30
41624;Steyregg;3877;2144;55,3;35;1,63;2109;98,37;651;30,87;643;30,49;349;16,55;269;12,75;162;7,68;14;0,66;21;1;26.05.2019;14:33:21;26.05.2019;14:33:21
41626;Walding;3369;1878;55,74;38;2,02;1840;97,98;641;34,84;489;26,58;236;12,83;318;17,28;131;7,12;12;0,65;13;0,71;26.05.2019;14:59:09;26.05.2019;15:26:59
41627;Zwettl an der Rodl;1375;887;64,51;26;2,93;861;97,07;362;42,04;157;18,23;108;12,54;180;20,91;44;5,11;8;0,93;2;0,23;26.05.2019;14:13:13;26.05.2019;14:13:13
41628;Vorderweißenbach;2151;1218;56,62;25;2,05;1193;97,95;655;54,9;187;15,67;179;15;115;9,64;44;3,69;4;0,34;9;0,75;26.05.2019;13:26:15;26.05.2019;13:26:15
41699;Wahlkarten Urfahr-Umgebung;0;8003;0;78;0,97;7925;99,03;2439;30,78;2064;26,04;840;10,6;1716;21,65;700;8,83;72;0,91;94;1,19;27.05.2019;15:35:20;27.05.2019;15:35:20
41700;Vöcklabruck;103271;64442;62,4;1304;2,02;63138;97,98;23589;37,36;14369;22,76;11580;18,34;8473;13,42;4196;6,65;351;0,56;580;0,92;26.05.2019;17:10:07;27.05.2019;16:16:25
41701;Ampflwang im Hausruckwald;2570;1413;54,98;37;2,62;1376;97,38;356;25,87;589;42,81;252;18,31;96;6,98;66;4,8;8;0,58;9;0,65;26.05.2019;15:05:02;26.05.2019;15:05:02
41702;Attersee;1286;718;55,83;9;1,25;709;98,75;287;40,48;130;18,34;99;13,96;112;15,8;75;10,58;3;0,42;3;0,42;26.05.2019;17:10:07;26.05.2019;17:10:07
41703;Attnang-Puchheim;5661;2579;45,56;40;1,55;2539;98,45;701;27,61;900;35,45;526;20,72;280;11,03;99;3,9;18;0,71;15;0,59;26.05.2019;15:58:41;26.05.2019;15:58:41
41704;Atzbach;969;593;61,2;18;3,04;575;96,96;283;49,22;54;9,39;128;22,26;71;12,35;36;6,26;2;0,35;1;0,17;26.05.2019;14:48:27;26.05.2019;14:48:27
41705;Aurach am Hongar;1376;770;55,96;40;5,19;730;94,81;259;35,48;182;24,93;197;26,99;43;5,89;40;5,48;1;0,14;8;1,1;26.05.2019;14:38:42;26.05.2019;15:23:24
41706;Berg im Attergau;828;517;62,44;11;2,13;506;97,87;299;59,09;54;10,67;97;19,17;37;7,31;18;3,56;0;0;1;0,2;26.05.2019;12:50:12;26.05.2019;12:50:12
41707;Desselbrunn;1412;779;55,17;14;1,8;765;98,2;317;41,44;188;24,58;149;19,48;70;9,15;32;4,18;5;0,65;4;0,52;26.05.2019;13:42:22;26.05.2019;13:42:22
41708;Fornach;763;467;61,21;15;3,21;452;96,79;276;61,06;53;11,73;69;15,27;31;6,86;17;3,76;3;0,66;3;0,66;26.05.2019;14:15:12;26.05.2019;14:15:12
41709;Frankenburg am Hausruck;4014;2216;55,21;70;3,16;2146;96,84;763;35,55;585;27,26;483;22,51;195;9,09;106;4,94;7;0,33;7;0,33;26.05.2019;15:55:17;26.05.2019;15:55:17
41710;Frankenmarkt;2690;1429;53,12;46;3,22;1383;96,78;577;41,72;278;20,1;288;20,82;148;10,7;62;4,48;13;0,94;17;1,23;26.05.2019;16:39:04;26.05.2019;16:39:04
41711;Gampern;2335;1379;59,06;40;2,9;1339;97,1;547;40,85;240;17,92;240;17,92;213;15,91;80;5,97;6;0,45;13;0,97;26.05.2019;14:59:20;26.05.2019;14:59:20
41712;Innerschwand;921;480;52,12;1;0,21;479;99,79;294;61,38;39;8,14;52;10,86;66;13,78;24;5,01;2;0,42;2;0,42;26.05.2019;15:52:51;26.05.2019;15:52:51
41713;Lenzing;3928;2058;52,39;49;2,38;2009;97,62;426;21,2;787;39,17;458;22,8;191;9,51;119;5,92;9;0,45;19;0,95;26.05.2019;15:42:02;26.05.2019;15:42:02
41714;Manning;653;369;56,51;9;2,44;360;97,56;168;46,67;68;18,89;54;15;45;12,5;17;4,72;4;1,11;4;1,11;26.05.2019;12:44:28;26.05.2019;12:44:28
41715;Mondsee;2622;1159;44,2;21;1,81;1138;98,19;446;39,19;153;13,44;190;16,7;221;19,42;115;10,11;6;0,53;7;0,62;26.05.2019;15:12:43;26.05.2019;15:12:43
41716;Neukirchen an der Vöckla;2126;1340;63,03;43;3,21;1297;96,79;546;42,1;238;18,35;266;20,51;174;13,42;60;4,63;3;0,23;10;0,77;26.05.2019;16:10:35;26.05.2019;16:10:35
41717;Niederthalheim;849;508;59,84;16;3,15;492;96,85;229;46,54;64;13,01;94;19,11;53;10,77;37;7,52;1;0,2;14;2,85;26.05.2019;12:59:33;26.05.2019;12:59:33
41718;Nußdorf am Attersee;896;479;53,46;7;1,46;472;98,54;247;52,33;45;9,53;92;19,49;43;9,11;41;8,69;2;0,42;2;0,42;26.05.2019;13:18:18;26.05.2019;13:18:18
41719;Oberhofen am Irrsee;1278;686;53,68;14;2,04;672;97,96;340;50,6;108;16,07;106;15,77;71;10,57;40;5,95;1;0,15;6;0,89;26.05.2019;15:02:59;26.05.2019;15:02:59
41720;Oberndorf bei Schwanenstadt;1095;591;53,97;9;1,52;582;98,48;202;34,71;130;22,34;132;22,68;74;12,71;40;6,87;1;0,17;3;0,52;26.05.2019;13:35:29;26.05.2019;13:35:29
41721;Oberwang;1374;727;52,91;24;3,3;703;96,7;442;62,87;43;6,12;149;21,19;36;5,12;29;4,13;2;0,28;2;0,28;26.05.2019;13:54:21;26.05.2019;13:54:21
41722;Ottnang am Hausruck;3044;1559;51,22;37;2,37;1522;97,63;515;33,84;385;25,3;378;24,84;154;10,12;70;4,6;3;0,2;17;1,12;26.05.2019;13:24:39;26.05.2019;13:24:39
41723;Pfaffing;1180;604;51,19;13;2,15;591;97,85;232;39,26;146;24,7;108;18,27;64;10,83;34;5,75;1;0,17;6;1,02;26.05.2019;14:19:07;26.05.2019;14:19:07
41724;Pilsbach;531;341;64,22;9;2,64;332;97,36;149;44,88;91;27,41;37;11,14;37;11,14;16;4,82;0;0;2;0,6;26.05.2019;12:34:46;26.05.2019;13:16:23
41725;Pitzenberg;442;259;58,6;5;1,93;254;98,07;122;48,03;34;13,39;50;19,69;36;14,17;9;3,54;1;0,39;2;0,79;26.05.2019;12:58:22;26.05.2019;12:58:22
41726;Pöndorf;1876;916;48,83;24;2,62;892;97,38;410;45,96;179;20,07;203;22,76;62;6,95;31;3,48;5;0,56;2;0,22;26.05.2019;16:00:51;26.05.2019;16:00:51
41727;Puchkirchen am Trattberg;818;475;58,07;9;1,89;466;98,11;223;47,85;73;15,67;56;12,02;55;11,8;47;10,09;4;0,86;8;1,72;26.05.2019;15:28:02;26.05.2019;15:28:02
41728;Pühret;491;307;62,53;10;3,26;297;96,74;131;44,11;54;18,18;69;23,23;29;9,76;9;3,03;0;0;5;1,68;26.05.2019;12:40:21;26.05.2019;12:40:21
41729;Redleiten;404;237;58,66;9;3,8;228;96,2;90;39,47;38;16,67;72;31,58;16;7,02;11;4,82;1;0,44;0;0;26.05.2019;12:52:44;26.05.2019;12:52:44
41730;Redlham;1290;719;55,74;15;2,09;704;97,91;235;33,38;184;26,14;139;19,74;89;12,64;41;5,82;7;0,99;9;1,28;26.05.2019;13:38:01;26.05.2019;13:38:01
41731;Regau;5054;2869;56,77;57;1,99;2812;98,01;947;33,68;619;22,01;644;22,9;391;13,9;168;5,97;10;0,36;33;1,17;26.05.2019;16:12:34;26.05.2019;16:12:34
41732;Rüstorf;1681;834;49,61;17;2,04;817;97,96;277;33,9;207;25,34;172;21,05;84;10,28;60;7,34;4;0,49;13;1,59;26.05.2019;14:25:09;26.05.2019;14:25:09
41733;Rutzenham;225;156;69,33;2;1,28;154;98,72;66;42,86;14;9,09;26;16,88;28;18,18;12;7,79;8;5,19;0;0;26.05.2019;12:23:08;26.05.2019;12:23:08
41734;St.Georgen im Attergau;3192;1592;49,87;32;2,01;1560;97,99;637;40,83;228;14,62;368;23,59;192;12,31;111;7,12;12;0,77;12;0,77;26.05.2019;16:46:05;26.05.2019;16:46:05
41735;St.Lorenz;1911;886;46,36;16;1,81;870;98,19;427;49,08;88;10,11;136;15,63;121;13,91;79;9,08;2;0,23;17;1,95;26.05.2019;15:52:05;26.05.2019;15:52:05
41736;Schlatt;1090;569;52,2;22;3,87;547;96,13;221;40,4;115;21,02;106;19,38;55;10,05;47;8,59;2;0,37;1;0,18;26.05.2019;13:28:47;26.05.2019;13:28:47
41737;Schörfling am Attersee;2731;1352;49,51;28;2,07;1324;97,93;435;32,85;353;26,66;223;16,84;208;15,71;81;6,12;12;0,91;12;0,91;26.05.2019;15:49:38;26.05.2019;15:49:38
41738;Schwanenstadt;2984;1505;50,44;33;2,19;1472;97,81;466;31,66;386;26,22;332;22,55;207;14,06;66;4,48;8;0,54;7;0,48;26.05.2019;17:07:14;26.05.2019;17:07:14
41739;Seewalchen am Attersee;4511;2432;53,91;46;1,89;2386;98,11;753;31,56;592;24,81;446;18,69;344;14,42;214;8,97;11;0,46;26;1,09;26.05.2019;16:04:50;26.05.2019;16:04:50
41740;Steinbach am Attersee;693;416;60,03;10;2,4;406;97,6;201;49,51;66;16,26;36;8,87;62;15,27;36;8,87;2;0,49;3;0,74;26.05.2019;14:45:27;26.05.2019;14:45:27
41741;Straß im Attergau;1175;586;49,87;14;2,39;572;97,61;287;50,17;63;11,01;134;23,43;54;9,44;31;5,42;0;0;3;0,52;26.05.2019;14:21:27;26.05.2019;14:21:27
41742;Tiefgraben;2978;1384;46,47;18;1,3;1366;98,7;722;52,86;129;9,44;200;14,64;165;12,08;133;9,74;7;0,51;10;0,73;26.05.2019;15:18:09;26.05.2019;15:18:09
41743;Timelkam;4410;2243;50,86;32;1,43;2211;98,57;730;33,02;638;28,86;373;16,87;298;13,48;134;6,06;13;0,59;25;1,13;26.05.2019;15:07:12;26.05.2019;15:07:12
41744;Ungenach;1183;675;57,06;6;0,89;669;99,11;324;48,43;80;11,96;98;14,65;115;17,19;46;6,88;3;0,45;3;0,45;26.05.2019;15:56:48;26.05.2019;15:56:48
41745;Unterach am Attersee;1153;494;42,84;4;0,81;490;99,19;234;47,76;95;19,39;61;12,45;63;12,86;32;6,53;3;0,61;2;0,41;26.05.2019;14:23:21;26.05.2019;14:23:21
41746;Vöcklabruck;8967;4628;51,61;61;1,32;4567;98,68;1456;31,88;1182;25,88;742;16,25;740;16,2;359;7,86;37;0,81;51;1,12;26.05.2019;16:14:47;26.05.2019;16:43:21
41747;Vöcklamarkt;3774;2068;54,8;55;2,66;2013;97,34;808;40,14;398;19,77;406;20,17;247;12,27;127;6,31;9;0,45;18;0,89;26.05.2019;15:31:29;26.05.2019;15:31:29
41748;Weißenkirchen im Attergau;781;447;57,23;9;2,01;438;97,99;262;59,82;34;7,76;82;18,72;36;8,22;21;4,79;1;0,23;2;0,46;26.05.2019;12:45:44;26.05.2019;12:45:44
41749;Weyregg am Attersee;1302;659;50,61;14;2,12;645;97,88;262;40,62;126;19,53;102;15,81;104;16,12;47;7,29;2;0,31;2;0,31;26.05.2019;13:56:49;26.05.2019;13:56:49
41750;Wolfsegg am Hausruck;1510;821;54,37;20;2,44;801;97,56;301;37,58;204;25,47;121;15,11;114;14,23;44;5,49;10;1,25;7;0,87;26.05.2019;14:04:23;26.05.2019;14:04:23
41751;Zell am Moos;1232;668;54,22;9;1,35;659;98,65;336;50,99;73;11,08;107;16,24;73;11,08;55;8,35;4;0,61;11;1,67;26.05.2019;14:17:05;26.05.2019;14:17:05
41752;Zell am Pettenfirst;1012;547;54,05;11;2,01;536;97,99;239;44,59;90;16,79;84;15,67;80;14,93;35;6,53;3;0,56;5;0,93;26.05.2019;12:48:42;26.05.2019;12:48:42
41799;Wahlkarten Vöcklabruck;0;9937;0;124;1,25;9813;98,75;3086;31,45;2477;25,24;1348;13,74;1880;19,16;837;8,53;69;0,7;116;1,18;27.05.2019;16:16:25;27.05.2019;16:16:25
41800;Wels-Land;54882;34554;62,96;596;1,72;33958;98,28;11792;34,73;7799;22,97;7458;21,96;3891;11,46;2593;7,64;140;0,41;285;0,84;26.05.2019;16:16:34;27.05.2019;13:25:32
41801;Aichkirchen;451;270;59,87;7;2,59;263;97,41;146;55,51;17;6,46;56;21,29;24;9,13;20;7,6;0;0;0;0;26.05.2019;12:05:31;26.05.2019;12:05:31
41802;Bachmanning;505;303;60;3;0,99;300;99,01;124;41,33;52;17,33;66;22;40;13,33;17;5,67;1;0,33;0;0;26.05.2019;13:13:46;26.05.2019;13:13:46
41803;Bad Wimsbach-Neydharting;2014;1202;59,68;27;2,25;1175;97,75;526;44,77;251;21,36;206;17,53;106;9,02;72;6,13;2;0,17;12;1,02;26.05.2019;13:33:58;26.05.2019;13:33:58
41804;Buchkirchen;3294;1808;54,89;26;1,44;1782;98,56;585;32,83;447;25,08;367;20,59;224;12,57;132;7,41;9;0,51;18;1,01;26.05.2019;16:16:34;26.05.2019;16:16:34
41805;Eberstalzell;2048;1136;55,47;18;1,58;1118;98,42;482;43,11;116;10,38;319;28,53;111;9,93;72;6,44;5;0,45;13;1,16;26.05.2019;14:37:13;26.05.2019;14:37:13
41806;Edt bei Lambach;1758;936;53,24;18;1,92;918;98,08;362;39,43;210;22,88;195;21,24;83;9,04;58;6,32;5;0,54;5;0,54;26.05.2019;14:07:49;26.05.2019;14:07:49
41807;Fischlham;1086;613;56,45;12;1,96;601;98,04;266;44,26;116;19,3;109;18,14;63;10,48;40;6,66;1;0,17;6;1;26.05.2019;13:54:52;26.05.2019;13:54:52
41808;Gunskirchen;4638;2400;51,75;48;2;2352;98;846;35,97;552;23,47;538;22,87;228;9,69;157;6,68;11;0,47;20;0,85;26.05.2019;13:27:16;26.05.2019;13:27:16
41809;Holzhausen;769;416;54,1;7;1,68;409;98,32;153;37,41;94;22,98;80;19,56;45;11;34;8,31;0;0;3;0,73;26.05.2019;12:44:25;26.05.2019;12:44:25
41810;Krenglbach;2581;1485;57,54;34;2,29;1451;97,71;454;31,29;387;26,67;286;19,71;164;11,3;141;9,72;7;0,48;12;0,83;26.05.2019;15:56:52;26.05.2019;15:56:52
41811;Lambach;2354;1052;44,69;17;1,62;1035;98,38;340;32,85;260;25,12;231;22,32;124;11,98;65;6,28;4;0,39;11;1,06;26.05.2019;13:41:02;26.05.2019;13:41:02
41812;Marchtrenk;9722;4850;49,89;106;2,19;4744;97,81;1171;24,68;1497;31,56;1210;25,51;469;9,89;322;6,79;20;0,42;55;1,16;26.05.2019;16:00:13;26.05.2019;16:00:13
41813;Neukirchen bei Lambach;731;426;58,28;8;1,88;418;98,12;189;45,22;64;15,31;88;21,05;37;8,85;36;8,61;2;0,48;2;0,48;26.05.2019;13:08:31;26.05.2019;13:08:31
41814;Offenhausen;1281;739;57,69;12;1,62;727;98,38;309;42,5;115;15,82;169;23,25;68;9,35;58;7,98;3;0,41;5;0,69;26.05.2019;13:23:24;26.05.2019;13:23:24
41815;Pennewang;726;428;58,95;8;1,87;420;98,13;231;55;50;11,9;71;16,9;32;7,62;33;7,86;2;0,48;1;0,24;26.05.2019;13:17:50;26.05.2019;13:17:50
41816;Pichl bei Wels;2220;1295;58,33;16;1,24;1279;98,76;462;36,12;296;23,14;265;20,72;148;11,57;95;7,43;3;0,23;10;0,78;26.05.2019;16:09:15;26.05.2019;16:09:15
41817;Sattledt;1985;1071;53,95;20;1,87;1051;98,13;411;39,11;219;20,84;275;26,17;62;5,9;78;7,42;2;0,19;4;0,38;26.05.2019;13:35:28;26.05.2019;13:35:28
41818;Schleißheim;1052;596;56,65;10;1,68;586;98,32;229;39,08;100;17,06;129;22,01;63;10,75;51;8,7;4;0,68;10;1,71;26.05.2019;13:49:44;26.05.2019;13:49:44
41819;Sipbachzell;1577;905;57,39;11;1,22;894;98,78;382;42,73;144;16,11;180;20,13;102;11,41;80;8,95;3;0,34;3;0,34;26.05.2019;13:42:39;26.05.2019;13:42:39
41820;Stadl-Paura;3608;1635;45,32;33;2,02;1602;97,98;391;24,41;442;27,59;438;27,34;187;11,67;118;7,37;15;0,94;11;0,69;26.05.2019;15:03:13;26.05.2019;15:03:13
41821;Steinerkirchen an der Traun;1867;1097;58,76;16;1,46;1081;98,54;523;48,38;126;11,66;236;21,83;125;11,56;64;5,92;1;0,09;6;0,56;26.05.2019;13:16:05;26.05.2019;13:16:05
41822;Steinhaus;1734;1056;60,9;16;1,52;1040;98,48;363;34,9;167;16,06;327;31,44;104;10;74;7,12;2;0,19;3;0,29;26.05.2019;14:22:59;26.05.2019;14:22:59
41823;Thalheim bei Wels;4220;2278;53,98;28;1,23;2250;98,77;802;35,64;450;20;432;19,2;329;14,62;206;9,16;12;0,53;19;0,84;26.05.2019;13:59:57;26.05.2019;13:59:57
41824;Weißkirchen an der Traun;2661;1584;59,53;26;1,64;1558;98,36;572;36,71;369;23,68;309;19,83;170;10,91;116;7,45;6;0,39;16;1,03;26.05.2019;15:18:28;26.05.2019;15:28:45
41899;Wahlkarten Wels-Land;0;4973;0;69;1,39;4904;98,61;1473;30,04;1258;25,65;876;17,86;783;15,97;454;9,26;20;0,41;40;0,82;27.05.2019;13:25:32;27.05.2019;13:25:32
